timestamp,open,high,low,close,volume
2026-07-17 22:45:00,10161282,10264240,10156437,10256416,36.846
2026-07-17 23:00:00,10256416,10310846,10254947,10289353,30.37
2026-07-17 23:15:00,10288938,10306684,10259940,10265139,18.427
2026-07-17 23:30:00,10266688,10285681,10240292,10273050,13.92
2026-07-17 23:45:00,10271590,10276081,10244520,10255148,13.547
2026-07-18 00:00:00,10254421,10258989,10199840,10210000,20.149
2026-07-18 00:15:00,10213800,10267821,10210726,10267821,17.158
2026-07-18 00:30:00,10267821,10276497,10245202,10258879,10.935
2026-07-18 00:45:00,10262811,10305299,10252939,10304078,9.052
2026-07-18 01:00:00,10305000,10324950,10286957,10308678,14.743
2026-07-18 01:15:00,10308000,10324020,10284271,10310398,11.483
2026-07-18 01:30:00,10311622,10319994,10295791,10318506,4.196
2026-07-18 01:45:00,10320075,10352484,10311794,10327380,13.73
2026-07-18 02:00:00,10327542,10414570,10327068,10386732,24.725
2026-07-18 02:15:00,10381871,10416240,10375680,10396038,13.664
2026-07-18 02:30:00,10394458,10410000,10389649,10396158,6.735
2026-07-18 02:45:00,10397955,10427900,10392009,10398219,14.205
2026-07-18 03:00:00,10398158,10409207,10386174,10404848,7.528
2026-07-18 03:15:00,10403774,10404096,10372320,10383991,15.309
2026-07-18 03:30:00,10382015,10416248,10382015,10415551,9.874
2026-07-18 03:45:00,10415029,10455623,10413984,10433743,19.472
2026-07-18 04:00:00,10434552,10437966,10406559,10410539,8.852
2026-07-18 04:15:00,10409384,10413641,10393624,10409038,6.02
2026-07-18 04:30:00,10410429,10423817,10407356,10422736,7.316
2026-07-18 04:45:00,10422551,10429370,10414651,10417568,4.302
2026-07-18 05:00:00,10414891,10414891,10392716,10393892,3.92
2026-07-18 05:15:00,10392856,10407531,10390481,10401775,5.634
2026-07-18 05:30:00,10400496,10410510,10384335,10410510,5.34
2026-07-18 05:45:00,10412342,10422834,10397978,10407648,7.618
2026-07-18 06:00:00,10409158,10422761,10409158,10419101,6.466
2026-07-18 06:15:00,10417523,10427531,10410326,10414256,5.032
2026-07-18 06:30:00,10414678,10416636,10403572,10407556,5.678
2026-07-18 06:45:00,10407908,10409149,10401456,10409149,7.472
2026-07-18 07:00:00,10411849,10415951,10401943,10405802,7.134
2026-07-18 07:15:00,10405385,10405385,10384923,10385600,8.106
2026-07-18 07:30:00,10385758,10387479,10372320,10381763,8.653
2026-07-18 07:45:00,10382379,10389870,10380405,10387154,4.538
2026-07-18 08:00:00,10386483,10386483,10372043,10376192,3.62
2026-07-18 08:15:00,10373988,10386629,10373988,10386629,9.372
2026-07-18 08:30:00,10386304,10396027,10383560,10388519,6.386
2026-07-18 08:45:00,10387899,10391272,10379600,10382432,5.241
2026-07-18 11:00:00,10384466,10390149,10380792,10388958,0.786
2026-07-18 11:15:00,10390348,10392581,10385840,10390000,2.24
2026-07-18 11:30:00,10390428,10396011,10382288,10385274,3.194
2026-07-18 11:45:00,10384401,10386958,10380233,10386391,3.54
2026-07-18 12:00:00,10386424,10391009,10383287,10391009,2.682
2026-07-18 12:15:00,10391617,10392741,10384687,10386600,1.75
2026-07-18 12:30:00,10385433,10388624,10382608,10385355,2.778
2026-07-18 12:45:00,10386195,10400000,10381591,10395877,5.624
2026-07-18 13:00:00,10396246,10396246,10391062,10393635,2.036
2026-07-18 13:15:00,10394074,10394732,10388082,10391192,2.888
2026-07-18 13:30:00,10390795,10393104,10386192,10388495,1.94
2026-07-18 13:45:00,10389242,10393044,10386160,10391849,3.452
2026-07-18 14:00:00,10392553,10392553,10383007,10386346,3.842
2026-07-18 14:15:00,10385755,10392404,10382391,10389054,5.05
2026-07-18 14:30:00,10390070,10393017,10384297,10388008,1.352
2026-07-18 14:45:00,10386855,10394181,10384100,10387340,3.234
2026-07-18 15:00:00,10388344,10389000,10383000,10387021,2.31
2026-07-18 15:15:00,10388915,10393969,10386545,10389449,2.228
2026-07-18 15:30:00,10388204,10391040,10381823,10388397,4.236
2026-07-18 15:45:00,10388000,10389120,10385212,10385907,2.4
2026-07-18 16:00:00,10386426,10393930,10385492,10389379,5.392
2026-07-18 16:15:00,10390191,10394063,10388900,10394063,2.224
2026-07-18 16:30:00,10392336,10397590,10391011,10396555,4.906
2026-07-18 16:45:00,10396297,10397590,10391302,10391988,1.364
2026-07-18 17:00:00,10394584,10394584,10387071,10390304,3.954
2026-07-18 17:15:00,10391282,10393004,10382000,10390120,11.994
2026-07-18 17:30:00,10392060,10393727,10386000,10386028,3.294
2026-07-18 17:45:00,10389097,10391623,10386694,10391301,2.058
2026-07-18 18:00:00,10391438,10393457,10386999,10388599,4.428
2026-07-18 18:15:00,10387382,10389739,10380772,10382428,1.642
2026-07-18 18:30:00,10381873,10386852,10378951,10386811,2.844
2026-07-18 18:45:00,10386853,10388130,10383296,10387849,1.056
2026-07-18 19:00:00,10387164,10389844,10385532,10389182,0.994
2026-07-18 19:15:00,10388696,10391182,10387061,10389260,1.28
2026-07-18 19:30:00,10388904,10392095,10387440,10390183,2.103
2026-07-18 19:45:00,10388580,10390809,10388000,10388424,0.702
2026-07-18 20:00:00,10387674,10392116,10387674,10391095,1.9
2026-07-18 20:15:00,10392116,10393129,10389165,10391677,0.386
2026-07-18 20:30:00,10393545,10397970,10390539,10394419,3.454
2026-07-18 20:45:00,10394419,10406889,10392100,10399319,2.476
2026-07-18 21:00:00,10400727,10424142,10400727,10412096,8.614
2026-07-18 21:15:00,10412933,10415771,10400000,10408950,5.118
2026-07-18 21:30:00,10407000,10425000,10401393,10419565,7.752
2026-07-18 21:45:00,10419008,10434939,10419008,10429217,10.087
2026-07-18 22:00:00,10424543,10425418,10392347,10396173,5.982
2026-07-18 22:15:00,10395967,10403231,10386428,10403231,4.776
2026-07-18 22:30:00,10402675,10407739,10396516,10401944,3.254
2026-07-18 22:45:00,10401341,10411466,10397643,10411466,7.712
2026-07-18 23:00:00,10412687,10421230,10407384,10421030,3.982
2026-07-18 23:15:00,10415769,10420571,10409910,10419316,3.344
2026-07-18 23:30:00,10421210,10424589,10415693,10420568,3.772
2026-07-18 23:45:00,10420209,10421193,10409159,10412937,2.88
2026-07-19 00:00:00,10413755,10414411,10406816,10409947,5.62
2026-07-19 00:15:00,10409527,10416082,10408698,10409846,9.25
2026-07-19 00:30:00,10409350,10411520,10405317,10407660,8.58
2026-07-19 00:45:00,10406873,10424960,10403131,10422720,22.977
2026-07-19 01:00:00,10423000,10425520,10415424,10424400,8.688
2026-07-19 01:15:00,10424531,10425102,10410999,10417577,6.553
2026-07-19 01:30:00,10415739,10423043,10412815,10415087,3.552
2026-07-19 01:45:00,10414979,10440913,10411950,10436299,20.483
2026-07-19 02:00:00,10437357,10444444,10431464,10444444,3.891
2026-07-19 02:15:00,10442506,10458547,10432669,10436991,8.17
2026-07-19 02:30:00,10436401,10463968,10436222,10459247,4.405
2026-07-19 02:45:00,10457258,10471762,10453612,10469439,10.853
2026-07-19 03:00:00,10471305,10476030,10463600,10463600,6.638
2026-07-19 03:15:00,10466166,10497759,10466165,10483063,8.499
2026-07-19 03:30:00,10478136,10479001,10462480,10464327,9.916
2026-07-19 03:45:00,10465041,10474441,10464744,10469898,5.75
2026-07-19 04:00:00,10470956,10480965,10470908,10477213,7.334
2026-07-19 04:15:00,10476622,10486141,10465544,10465654,7.8
2026-07-19 04:30:00,10469194,10476892,10465280,10471952,9.592
2026-07-19 04:45:00,10471914,10479162,10471785,10476631,3.032
2026-07-19 05:00:00,10479781,10493041,10470243,10490160,12.264
2026-07-19 05:15:00,10490045,10510401,10488346,10499146,9.664
2026-07-19 05:30:00,10497958,10497968,10486127,10492481,8.564
2026-07-19 05:45:00,10493294,10510617,10485000,10506373,6.824
2026-07-19 06:00:00,10504334,10515690,10495893,10515690,11.296
2026-07-19 06:15:00,10516919,10529000,10507799,10509328,15.678
2026-07-19 06:30:00,10509328,10509581,10495255,10495255,6.354
2026-07-19 06:45:00,10497513,10524153,10492516,10513167,9.985
2026-07-19 07:00:00,10512965,10532000,10508101,10520588,7.89
2026-07-19 07:15:00,10520554,10527240,10511613,10511917,4.78
2026-07-19 07:30:00,10511917,10519847,10506724,10516769,5.488
2026-07-19 07:45:00,10517230,10528997,10511878,10525590,8.377
2026-07-19 08:00:00,10525874,10527030,10509745,10513842,3.294
2026-07-19 08:15:00,10513926,10530000,10512774,10527988,9.854
2026-07-19 08:30:00,10527617,10528878,10520014,10526021,3.7
2026-07-19 08:45:00,10524855,10530145,10522201,10526954,7.014
2026-07-19 09:00:00,10528217,10529621,10521753,10524974,2.926
2026-07-19 09:15:00,10524126,10533617,10513440,10514063,6.201
2026-07-19 09:30:00,10516153,10518498,10507840,10509670,11.451
2026-07-19 09:45:00,10511297,10516138,10508812,10514035,4.717
2026-07-19 10:00:00,10514136,10514681,10510000,10512000,1.374
2026-07-19 10:15:00,10512959,10513863,10509578,10510432,4.097
2026-07-19 10:30:00,10511365,10512803,10507437,10508400,2.063
2026-07-19 10:45:00,10510000,10511562,10507840,10509520,1.676
2026-07-19 11:00:00,10508000,10541277,10497200,10527472,18.621
2026-07-19 11:15:00,10530745,10533206,10512437,10518958,5.566
2026-07-19 11:30:00,10519244,10539713,10519244,10524461,4.871
2026-07-19 11:45:00,10523011,10526302,10517886,10519424,3.87
2026-07-19 12:00:00,10520312,10523438,10504000,10509319,5.888
2026-07-19 12:15:00,10508338,10510943,10490871,10500554,10.36
2026-07-19 12:30:00,10501601,10507280,10499203,10501511,6.763
2026-07-19 12:45:00,10501511,10511781,10500088,10510857,4.767
2026-07-19 13:00:00,10510197,10510857,10484320,10496425,8.139
2026-07-19 13:15:00,10496161,10509167,10495681,10506509,5.312
2026-07-19 13:30:00,10508275,10521054,10503450,10517184,3.45
2026-07-19 13:45:00,10515745,10521461,10506957,10507419,4.173
2026-07-19 14:00:00,10509376,10520237,10508052,10518236,6.51
2026-07-19 14:15:00,10518537,10522000,10500835,10500835,5.522
2026-07-19 14:30:00,10503418,10504434,10496000,10500007,3.528
2026-07-19 14:45:00,10499915,10509687,10499722,10505360,3.548
2026-07-19 15:00:00,10504462,10506449,10499552,10505756,3.346
2026-07-19 15:15:00,10506259,10513270,10502230,10506401,10.505
2026-07-19 15:30:00,10508668,10513250,10505444,10508618,1.734
2026-07-19 15:45:00,10509162,10509892,10500560,10508843,6.277
2026-07-19 16:00:00,10505118,10507544,10494960,10499752,8.341
2026-07-19 16:15:00,10500332,10505536,10493840,10503691,8.35
2026-07-19 16:30:00,10501482,10512356,10499101,10510113,3.054
2026-07-19 16:45:00,10511437,10512929,10495199,10504052,10.081
